"AMA","Recharge Facility","Water User","Year","Group","Data","Variable","deliveries"
"Phoenix","GRUSP","Phoenix",2016,"USF Deliveries","Recharge","Scheduled","5500"
"Phoenix","GRUSP","Phoenix",2016,"USF Deliveries","Recharge","Remaining","0"
"Phoenix","GRUSP","Tempe",2016,"USF Deliveries","Recharge","Delivered","658"
"Phoenix","GRUSP","Tempe",2016,"USF Deliveries","Recharge","Scheduled","1034"
"Phoenix","GRUSP","Tempe",2016,"USF Deliveries","Recharge","Remaining","376"
"Phoenix","GRUSP","Total",2016,"USF Deliveries","Recharge","Delivered","21862"
"Phoenix","GRUSP","Total",2016,"USF Deliveries","Recharge","Scheduled","20558"
"Phoenix","GRUSP","Total",2016,"USF Deliveries","Recharge","Remaining","-1304"
"Phoenix","HMRP","Ak-Chin",2016,"USF Deliveries","Recharge","Delivered","1000"
"Phoenix","HMRP","Ak-Chin",2016,"USF Deliveries","Recharge","Scheduled","1000"
"Phoenix","HMRP","Ak-Chin",2016,"USF Deliveries","Recharge","Remaining","0"
"Phoenix","HMRP","Avondale",2016,"USF Deliveries","Recharge","Delivered","5416"
"Phoenix","HMRP","Avondale",2016,"USF Deliveries","Recharge","Scheduled","5416"
"Phoenix","HMRP","Avondale",2016,"USF Deliveries","Recharge","Remaining","0"
"Phoenix","HMRP","AWBA Phx AMA",2016,"USF Deliveries","Recharge","Delivered","4907"
"Phoenix","HMRP","AWBA Phx AMA",2016,"USF Deliveries","Recharge","Scheduled","4908"
"Phoenix","HMRP","AWBA Phx AMA",2016,"USF Deliveries","Recharge","Remaining","1"
"Phoenix","HMRP","CAGRD",2016,"USF Deliveries","Recharge","Delivered","5156"
"Phoenix","HMRP","CAGRD",2016,"USF Deliveries","Recharge","Scheduled","5156"
"Phoenix","HMRP","CAGRD",2016,"USF Deliveries","Recharge","Remaining","0"
"Phoenix","HMRP","Del Webb/Pulte",2016,"USF Deliveries","Recharge","Delivered","100"
"Phoenix","HMRP","Del Webb/Pulte",2016,"USF Deliveries","Recharge","Scheduled","100"
"Phoenix","HMRP","Del Webb/Pulte",2016,"USF Deliveries","Recharge","Remaining","0"
"Phoenix","HMRP","El Mirage",2016,"USF Deliveries","Recharge","Delivered","508"
"Phoenix","HMRP","El Mirage",2016,"USF Deliveries","Recharge","Scheduled","508"
"Phoenix","HMRP","El Mirage",2016,"USF Deliveries","Recharge","Remaining","0"
"Phoenix","HMRP","Glendale",2016,"USF Deliveries","Recharge","Delivered","1000"
"Phoenix","HMRP","Glendale",2016,"USF Deliveries","Recharge","Scheduled","1000"
"Phoenix","HMRP","Glendale",2016,"USF Deliveries","Recharge","Remaining","0"
"Phoenix","HMRP","Goodyear",2016,"USF Deliveries","Recharge","Delivered","5000"
"Phoenix","HMRP","Goodyear",2016,"USF Deliveries","Recharge","Scheduled","5000"
"Phoenix","HMRP","Goodyear",2016,"USF Deliveries","Recharge","Remaining","0"
"Phoenix","HMRP","Peoria",2016,"USF Deliveries","Recharge","Delivered","710"
"Phoenix","HMRP","Peoria",2016,"USF Deliveries","Recharge","Scheduled","710"
"Phoenix","HMRP","Peoria",2016,"USF Deliveries","Recharge","Remaining","0"
"Phoenix","HMRP","Surprise",2016,"USF Deliveries","Recharge","Delivered","3124"
"Phoenix","HMRP","Surprise",2016,"USF Deliveries","Recharge","Scheduled","3124"
"Phoenix","HMRP","Surprise",2016,"USF Deliveries","Recharge","Remaining","0"
"Phoenix","HMRP","Total",2016,"USF Deliveries","Recharge","Delivered","26921"
"Phoenix","HMRP","Total",2016,"USF Deliveries","Recharge","Scheduled","26922"
"Phoenix","HMRP","Total",2016,"USF Deliveries","Recharge","Remaining","1"
"Phoenix","SMRP","AWBA Phx AMA",2016,"USF Deliveries","Recharge","Delivered","7174"
"Phoenix","SMRP","AWBA Phx AMA",2016,"USF Deliveries","Recharge","Scheduled","7173"
"Phoenix","SMRP","AWBA Phx AMA",2016,"USF Deliveries","Recharge","Remaining","-1"
"Phoenix","SMRP","CAGRD",2016,"USF Deliveries","Recharge","Delivered","5555"
"Phoenix","SMRP","CAGRD",2016,"USF Deliveries","Recharge","Scheduled","5555"
"Phoenix","SMRP","CAGRD",2016,"USF Deliveries","Recharge","Remaining","0"
"Phoenix","SMRP","Chandler",2016,"USF Deliveries","Recharge","Delivered","3900"
"Phoenix","SMRP","Chandler",2016,"USF Deliveries","Recharge","Scheduled","3900"
