"AMA","Recharge Facility","Water User","Year","Group","Data","Month","deliveries"
"Phoenix","RWCD","AZWC, Superstition",2016,"GSF Deliveries","Recharge","Apr","0"
"Phoenix","RWCD","AZWC, Superstition",2016,"GSF Deliveries","Recharge","May","0"
"Phoenix","RWCD","AZWC, Superstition",2016,"GSF Deliveries","Recharge","Jun","0"
"Phoenix","RWCD","AZWC, Superstition",2016,"GSF Deliveries","Recharge","Jul","0"
"Phoenix","RWCD","AZWC, Superstition",2016,"GSF Deliveries","Recharge","Aug","0"
"Phoenix","RWCD","AZWC, Superstition",2016,"GSF Deliveries","Recharge","Sep","529"
"Phoenix","RWCD","AZWC, Superstition",2016,"GSF Deliveries","Recharge","Oct","1071"
"Phoenix","RWCD","AZWC, Superstition",2016,"GSF Deliveries","Recharge","Nov","0"
"Phoenix","RWCD","AZWC, Superstition",2016,"GSF Deliveries","Recharge","Dec","0"
"Phoenix","RWCD","Freeport-Morenci",2016,"GSF Deliveries","Recharge","Jan","798"
"Phoenix","RWCD","Freeport-Morenci",2016,"GSF Deliveries","Recharge","Feb","3052"
"Phoenix","RWCD","Freeport-Morenci",2016,"GSF Deliveries","Recharge","Mar","2650"
"Phoenix","RWCD","Freeport-Morenci",2016,"GSF Deliveries","Recharge","Apr","0"
"Phoenix","RWCD","Freeport-Morenci",2016,"GSF Deliveries","Recharge","May","0"
"Phoenix","RWCD","Freeport-Morenci",2016,"GSF Deliveries","Recharge","Jun","0"
"Phoenix","RWCD","Freeport-Morenci",2016,"GSF Deliveries","Recharge","Jul","0"
"Phoenix","RWCD","Freeport-Morenci",2016,"GSF Deliveries","Recharge","Aug","0"
"Phoenix","RWCD","Freeport-Morenci",2016,"GSF Deliveries","Recharge","Sep","0"
"Phoenix","RWCD","Freeport-Morenci",2016,"GSF Deliveries","Recharge","Oct","0"
"Phoenix","RWCD","Freeport-Morenci",2016,"GSF Deliveries","Recharge","Nov","0"
"Phoenix","RWCD","Freeport-Morenci",2016,"GSF Deliveries","Recharge","Dec","0"
"Phoenix","RWCD","GRIC",2016,"GSF Deliveries","Recharge","Jan","0"
"Phoenix","RWCD","GRIC",2016,"GSF Deliveries","Recharge","Feb","0"
"Phoenix","RWCD","GRIC",2016,"GSF Deliveries","Recharge","Mar","2230"
"Phoenix","RWCD","GRIC",2016,"GSF Deliveries","Recharge","Apr","4272"
"Phoenix","RWCD","GRIC",2016,"GSF Deliveries","Recharge","May","6818"
"Phoenix","RWCD","GRIC",2016,"GSF Deliveries","Recharge","Jun","6143"
"Phoenix","RWCD","GRIC",2016,"GSF Deliveries","Recharge","Jul","2002"
"Phoenix","RWCD","GRIC",2016,"GSF Deliveries","Recharge","Aug","2926"
"Phoenix","RWCD","GRIC",2016,"GSF Deliveries","Recharge","Sep","4109"
"Phoenix","RWCD","GRIC",2016,"GSF Deliveries","Recharge","Oct","0"
"Phoenix","RWCD","GRIC",2016,"GSF Deliveries","Recharge","Nov","1905"
"Phoenix","RWCD","GRIC",2016,"GSF Deliveries","Recharge","Dec","1095"
"Phoenix","RWCD","Tonto Hills DWID",2016,"GSF Deliveries","Recharge","Jan","0"
"Phoenix","RWCD","Tonto Hills DWID",2016,"GSF Deliveries","Recharge","Feb","0"
"Phoenix","RWCD","Tonto Hills DWID",2016,"GSF Deliveries","Recharge","Mar","0"
"Phoenix","RWCD","Tonto Hills DWID",2016,"GSF Deliveries","Recharge","Apr","0"
"Phoenix","RWCD","Tonto Hills DWID",2016,"GSF Deliveries","Recharge","May","0"
